"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7540","Verify an error message appears when providing spaces in username and password fields","","Tue Jul 22 03:52:25 AMT 2025","passed","Tue Jul 22 03:52:33 AMT 2025","Login Functionality","ui\Login.test.ts","",""
"","7598","Verify an error message appears when providing invalid credentials","","Tue Jul 22 03:52:20 AMT 2025","passed","Tue Jul 22 03:52:27 AMT 2025","Login Functionality","ui\Login.test.ts","",""
"","7944","Verify standard user logs in successfully","","Tue Jul 22 03:51:48 AMT 2025","passed","Tue Jul 22 03:51:56 AMT 2025","Login Functionality","ui\Login.test.ts","",""
"","15356","Verify error user logs in successfully","","Tue Jul 22 03:52:04 AMT 2025","passed","Tue Jul 22 03:52:20 AMT 2025","Login Functionality","ui\Login.test.ts","",""
"","8087","Verify problem user logs in successfully","","Tue Jul 22 03:52:01 AMT 2025","passed","Tue Jul 22 03:52:09 AMT 2025","Login Functionality","ui\Login.test.ts","",""
"","7529","Verify locked out users cannot login","","Tue Jul 22 03:51:57 AMT 2025","passed","Tue Jul 22 03:52:04 AMT 2025","Login Functionality","ui\Login.test.ts","",""
"","18920","Verify user can add and remove any number of products","","Tue Jul 22 03:51:48 AMT 2025","passed","Tue Jul 22 03:52:07 AMT 2025","Cart Functionality","ui\Cart.test.ts","",""
"","2823","Verify the password field type is 'password'","","Tue Jul 22 03:52:31 AMT 2025","passed","Tue Jul 22 03:52:34 AMT 2025","Login Functionality","ui\Login.test.ts","",""
"","8124","Verify visual user logs in successfully","","Tue Jul 22 03:52:08 AMT 2025","passed","Tue Jul 22 03:52:16 AMT 2025","Login Functionality","ui\Login.test.ts","",""
"","7554","Verify an error message appears when trying an SQL injection","","Tue Jul 22 03:52:27 AMT 2025","passed","Tue Jul 22 03:52:35 AMT 2025","Login Functionality","ui\Login.test.ts","",""
"","14303","Verify user can add many products to the cart","","Tue Jul 22 03:51:48 AMT 2025","passed","Tue Jul 22 03:52:03 AMT 2025","Cart Functionality","ui\Cart.test.ts","",""
"","7652","Verify an error message appears when providing an invalid password","","Tue Jul 22 03:52:24 AMT 2025","passed","Tue Jul 22 03:52:32 AMT 2025","Login Functionality","ui\Login.test.ts","",""
"","7585","Verify an error message appears when password field is empty","","Tue Jul 22 03:52:17 AMT 2025","passed","Tue Jul 22 03:52:25 AMT 2025","Login Functionality","ui\Login.test.ts","",""
"","12645","Verify user can add a single product to the cart and remove it","","Tue Jul 22 03:51:48 AMT 2025","passed","Tue Jul 22 03:52:01 AMT 2025","Cart Functionality","ui\Cart.test.ts","",""
"","7895","Verify an error message appears when username and password fields are empty","","Tue Jul 22 03:52:09 AMT 2025","passed","Tue Jul 22 03:52:17 AMT 2025","Login Functionality","ui\Login.test.ts","",""
"","7622","Verify an error message appears when username field is empty","","Tue Jul 22 03:52:16 AMT 2025","passed","Tue Jul 22 03:52:24 AMT 2025","Login Functionality","ui\Login.test.ts","",""
"","7477","Verify an error message appears when providing an invalid username","","Tue Jul 22 03:52:24 AMT 2025","passed","Tue Jul 22 03:52:31 AMT 2025","Login Functionality","ui\Login.test.ts","",""
"","20683","Verify performance glitch user logs in successfully","","Tue Jul 22 03:52:03 AMT 2025","passed","Tue Jul 22 03:52:24 AMT 2025","Login Functionality","ui\Login.test.ts","",""
